,Date,Day,Comp,Round,Venue,Opponent,Start,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att.1,Succ,Opp_code,Day_code,Result_Type,Scores,Shooting_Accuracy,Opp_code_numeric
27,2024-02-23,Fri,Pro League A,Regular season,0,Charleroi,Y,90,0,0,0,0,3,2,1,0,48,0,1,1,0.1,0.1,0.5,9,0,23,32,71.9,2,37,1,2,1,weak,4,W,1–0,66.66666666666666,1
28,2024-03-03,Sun,Pro League A,Regular season,1,Club Brugge,Y,56,0,0,0,1,3,2,0,0,24,1,0,0,1.1,0.3,0.1,2,0,10,15,66.7,0,18,1,0,0,strong,6,L,0–3,66.66666666666666,3
29,2024-03-10,Sun,Pro League A,Regular season,1,Standard Liège,N,55,0,0,0,0,4,0,0,0,34,2,0,2,0.3,0.3,0.1,3,0,17,20,85.0,2,23,0,0,0,medium,6,W,1–0,0.0,2
30,2024-03-17,Sun,Pro League A,Regular season,0,Westerlo,Y,90,0,0,0,0,2,1,0,0,28,0,0,0,0.1,0.1,0.0,4,0,11,12,91.7,1,23,1,1,0,medium,6,D,1–1,50.0,2
31,2024-04-01,Mon,Pro League A,Champions play-offs,1,Union SG,Y,90,1,0,0,0,3,3,0,0,38,1,1,1,0.8,0.8,0.0,0,0,10,16,62.5,0,19,2,0,0,strong,0,W,1–0,100.0,3
32,2024-04-06,Sat,Pro League A,Champions play-offs,0,Antwerp,Y,90,0,0,0,0,7,1,0,0,49,3,0,0,0.4,0.4,0.0,3,0,18,28,64.3,2,36,0,2,2,strong,5,W,1–0,14.285714285714285,3
33,2024-04-13,Sat,Pro League A,Champions play-offs,1,Cercle Brugge,Y,90,1,0,0,0,3,2,0,0,33,0,0,1,0.3,0.3,0.0,1,0,7,19,36.8,0,16,0,1,0,strong,5,D,1–1,66.66666666666666,3
34,2024-04-20,Sat,Pro League A,Champions play-offs,1,Anderlecht,Y,72,1,0,0,0,4,3,0,0,39,0,0,2,0.9,0.9,0.8,4,0,15,21,71.4,0,26,4,5,1,strong,5,W,2–1,75.0,3
35,2024-04-24,Wed,Pro League A,Champions play-offs,0,Club Brugge,Y,70,0,0,0,0,2,1,1,0,28,1,0,0,0.4,0.4,0.1,3,0,9,17,52.9,1,23,4,3,0,strong,2,L,0–4,50.0,3
36,2024-04-28,Sun,Pro League A,Champions play-offs,1,Club Brugge,Y,63,0,0,0,0,2,0,0,0,21,0,0,0,0.1,0.1,0.1,2,0,8,13,61.5,0,14,0,0,0,strong,6,L,0–3,0.0,3
37,2024-05-04,Sat,Pro League A,Champions play-offs,0,Cercle Brugge,Y,78,0,0,0,0,1,0,0,0,25,0,0,1,0.7,0.7,0.0,1,0,11,14,78.6,0,20,0,1,1,strong,5,L,1–4,0.0,3
38,2024-05-11,Sat,Pro League A,Champions play-offs,0,Anderlecht,Y,90,1,0,0,0,3,2,0,0,39,0,0,1,0.7,0.7,0.1,3,0,16,26,61.5,1,27,0,3,2,strong,5,L,1–2,66.66666666666666,3
39,2024-05-20,Mon,Pro League A,Champions play-offs,1,Antwerp,Y,90,0,0,0,0,3,0,0,0,43,0,0,1,0.3,0.3,0.1,2,0,18,26,69.2,1,33,2,3,0,strong,0,W,1–0,0.0,3
40,2024-05-26,Sun,Pro League A,Champions play-offs,0,Union SG,Y,90,0,0,0,0,1,1,0,0,25,0,0,0,0.1,0.1,0.0,1,0,13,16,81.3,1,19,0,0,0,strong,6,L,0–2,100.0,3
41,2024-06-02,Sun,Pro League A,European competition play-off,1,Gent,N,26,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,8,10,80.0,1,9,0,2,1,weak,6,L,0–1,0.0,1
